InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsPromotion,Sex,Region
633014,80401.0,Type,7,15/01/2024 07:59,8.3,88054,United States,Yes,Male,North
637813,57687.0,Easy,17,19/08/2023 10:15,1.23,68379,United Kingdom,Yes,Female,East
906928,26912.0,Free,16,03/01/2024 00:17,20.72,20830,Germany,Yes,Male,East
488784,26546.0,Onto,15,27/07/2023 00:18,45.14,11918,United Kingdom,Yes,Male,East
406744,11202.0,Yeah,15,07/08/2023 19:43,10.91,24403,United Kingdom,Yes,Male,South
314276,94270.0,Return,15,15/12/2023 12:26,0.73,49376,United Kingdom,No,Female,West
408604,62910.0,President,16,29/10/2023 15:00,17.34,49470,Germany,Yes,Male,East
845956,87875.0,Tonight,11,29/03/2023 01:21,44.19,82803,Australia,Yes,Female,West
83500,96612.0,Continue,5,18/01/2024 22:09,32.11,23903,Australia,Yes,Female,North
177288,77824.0,Game,16,03/04/2023 12:41,9.73,49426,Australia,No,Female,West
405965,97670.0,Box,20,13/11/2023 13:09,5.92,69779,United States,Yes,Female,South
760596,56081.0,Among,19,24/05/2023 00:20,7.77,66472,Canada,Yes,Female,South
369212,84883.0,Run,11,08/08/2023 16:04,47.83,78496,Canada,Yes,Male,East
16187,38211.0,This,9,20/05/2023 00:53,5.63,78279,Germany,No,Female,West
463440,29191.0,Day,3,19/03/2024 15:10,25.69,30445,France,Yes,Male,East
467252,86836.0,Western,3,20/02/2024 10:03,43.23,21800,United Kingdom,No,Male,North
618272,53508.0,Professional,7,16/11/2023 08:29,23.87,45034,Germany,Yes,Male,West
752275,39320.0,Low,9,09/04/2023 14:06,31.77,55698,Canada,No,Female,North
810342,62882.0,Feeling,20,30/09/2023 12:24,35.48,77800,France,No,Male,West
248034,49642.0,Move,6,11/07/2023 20:05,10.9,8056,France,No,Male,West
308274,50478.0,Whatever,7,10/12/2023 15:32,23.12,95128,Canada,No,Female,East
488821,66309.0,Spend,2,08/05/2023 20:11,5.48,19912,Australia,Yes,Female,East
893878,83016.0,Language,16,28/03/2023 05:22,33.9,70361,United States,No,Female,North
910494,13695.0,Participant,10,04/03/2024 13:09,34.85,61289,Canada,Yes,Female,East
259849,51660.0,Save,17,19/12/2023 01:01,8.08,45425,United States,No,Male,South
517312,76018.0,Month,7,01/04/2023 00:10,46.09,26198,Canada,Yes,Male,West
506012,23191.0,Draw,17,21/01/2024 23:09,24.5,46018,France,Yes,Male,North
556446,57769.0,Win,2,10/01/2024 15:58,38.61,74208,Germany,Yes,Female,East
378073,22385.0,Environmental,7,14/01/2024 21:41,36.66,35303,Germany,Yes,Male,West
365433,78908.0,Mouth,7,17/11/2023 02:14,42.18,79521,Germany,Yes,Male,North
570118,59633.0,Interesting,17,15/03/2024 01:14,19.45,48336,United Kingdom,No,Female,North
739117,18721.0,Must,1,13/02/2024 13:06,17.49,28299,France,No,Male,South
917131,47439.0,Hear,14,10/08/2023 08:14,36.35,6817,Canada,No,Female,South
796000,35448.0,Evidence,5,27/10/2023 00:15,38.15,5066,United Kingdom,No,Male,South
286340,47329.0,However,18,22/10/2023 16:13,23.36,49935,France,No,Male,West
424650,86647.0,Fact,2,12/06/2023 17:27,24.66,10161,United Kingdom,Yes,Female,South
188798,64407.0,Spring,2,25/11/2023 19:43,4.01,27970,United Kingdom,Yes,Female,North
818797,55006.0,Already,17,08/02/2024 08:12,45.78,32645,France,Yes,Female,East
655059,72349.0,Return,4,14/12/2023 16:32,46.85,50143,Australia,No,Male,North
409060,28332.0,Laugh,6,08/03/2024 19:27,41.47,23929,Germany,No,Female,North
357390,76684.0,Apply,4,14/07/2023 20:26,6.93,62585,United Kingdom,Yes,Male,West
692640,18901.0,Child,14,03/07/2023 07:32,1.04,97962,United States,Yes,Female,East
998912,67056.0,Provide,10,19/01/2024 10:24,49.94,16739,Germany,No,Male,East
903061,54809.0,Language,11,28/08/2023 12:17,46.59,85041,Germany,Yes,Female,West
461458,94683.0,Recently,14,07/09/2023 21:35,6.32,18791,Germany,No,Male,West
800491,31737.0,News,19,16/04/2023 14:33,30.97,25864,United States,No,Male,East
545929,73595.0,Difference,6,15/10/2023 16:19,17.44,76236,United States,Yes,Male,West
654185,97390.0,Head,10,01/06/2023 18:27,24.83,865,United States,No,Male,North
173339,64177.0,Evening,17,25/04/2023 23:50,28.48,99278,Canada,Yes,Male,East
17730,57647.0,That,14,01/02/2024 21:54,38.02,52348,United States,No,Female,West
721404,89290.0,Investment,4,08/09/2023 10:05,27.66,14074,United States,No,Male,North
747893,88933.0,Discover,16,05/08/2023 05:30,31.48,91086,United Kingdom,No,Female,South
633194,29291.0,Think,16,13/07/2023 19:53,17.05,1069,Germany,No,Female,North
335711,55367.0,Available,9,14/11/2023 22:00,48.87,84407,United Kingdom,Yes,Male,East
166795,90589.0,Measure,1,06/03/2024 06:29,1.88,80240,Germany,No,Male,West
718851,56745.0,Pass,9,29/07/2023 10:56,39.37,72525,Germany,No,Male,West
947540,43670.0,Agreement,11,21/10/2023 19:21,15.58,54759,United States,Yes,Female,North
724196,80243.0,Occur,4,16/06/2023 15:29,29.27,22511,Australia,No,Male,North
84884,86793.0,No,9,15/08/2023 10:41,49.64,25347,France,Yes,Female,East
179166,23712.0,Another,1,27/01/2024 02:02,16.35,5532,France,No,Female,East
934534,51838.0,Community,11,26/06/2023 15:18,5.72,78803,France,Yes,Male,South
397385,87139.0,World,17,08/09/2023 03:39,41.44,82706,United States,Yes,Male,West
573854,95690.0,Idea,10,08/08/2023 17:19,33.42,55994,Germany,Yes,Female,North
100817,50370.0,State,14,29/12/2023 03:22,48.2,61366,France,Yes,Male,West
497408,37669.0,Increase,9,14/10/2023 00:49,33.15,62074,United Kingdom,No,Female,South
429603,84927.0,Meet,20,24/01/2024 18:23,10.41,51583,Australia,Yes,Female,West
166151,17574.0,Dinner,3,10/06/2023 10:50,8.88,12315,Australia,No,Female,North
221863,12844.0,Million,20,07/05/2023 02:30,31.3,83367,France,No,Male,East
52371,44395.0,None,7,20/01/2024 12:55,26.75,63788,France,Yes,Female,West
995217,57575.0,Past,2,27/10/2023 07:56,38.83,34650,United States,No,Male,South
92472,78050.0,Past,13,02/09/2023 13:11,27.94,9603,France,Yes,Female,East
748101,32493.0,Several,9,29/08/2023 16:13,14.79,30575,Australia,No,Female,North
831146,10429.0,Change,17,21/09/2023 20:49,45.38,55394,United Kingdom,Yes,Male,South
162051,15305.0,Others,17,16/06/2023 20:53,36.37,96426,Canada,No,Male,West
314945,15170.0,Usually,3,15/10/2023 20:07,47.74,19267,United Kingdom,Yes,Female,East
552056,21934.0,Return,6,04/03/2024 07:35,15.3,16604,Australia,No,Male,South
323779,19768.0,Trouble,8,16/05/2023 10:25,26.26,85677,Canada,Yes,Female,South
253618,29455.0,Industry,2,16/09/2023 12:12,26.37,41043,United States,Yes,Female,East
397396,99558.0,Level,1,02/08/2023 23:56,15.63,22223,Australia,No,Female,North
44148,23002.0,Body,12,26/07/2023 11:33,5.5,95682,Germany,No,Male,South
429425,66092.0,Now,1,30/05/2023 16:26,28.32,88296,Australia,No,Male,East
218656,13760.0,Industry,1,20/05/2023 02:23,5.35,36872,United States,Yes,Male,North
415478,53232.0,Expert,7,07/10/2023 16:54,48.33,23887,Canada,No,Male,South
827354,46513.0,Artist,16,03/03/2024 17:44,7.12,73897,United States,Yes,Female,East
619740,31976.0,Prepare,3,29/11/2023 04:36,13.62,97864,United States,Yes,Male,North
212595,98497.0,Suddenly,14,13/07/2023 21:42,29.9,71586,Australia,No,Female,East
339552,59030.0,Peace,12,21/05/2023 23:55,22.9,12323,United States,Yes,Male,East
377142,40424.0,Newspaper,18,23/02/2024 15:38,10.57,7828,Germany,No,Male,South
973713,74921.0,Rule,9,17/04/2023 07:53,13.05,27216,Canada,No,Male,West
901774,68926.0,Five,15,15/06/2023 13:36,19.96,12443,United Kingdom,No,Male,East
612702,69569.0,Real,17,17/07/2023 23:56,11.16,14606,France,No,Male,North
439464,97147.0,Message,4,25/01/2024 11:40,10.41,61533,Australia,Yes,Female,West
136757,60512.0,Decade,12,12/04/2023 18:14,26.17,90582,Germany,Yes,Male,North
559318,60247.0,Friend,16,05/11/2023 06:55,23.17,54656,Australia,Yes,Male,East
50839,40542.0,Run,1,07/07/2023 22:58,40.72,82848,France,Yes,Male,East
788189,74467.0,Have,16,07/05/2023 09:51,24.33,92223,France,No,Male,South
344650,12971.0,Stuff,14,23/06/2023 00:34,43.81,51571,United Kingdom,No,Female,West
70334,32794.0,Mrs,18,18/04/2023 07:14,17.59,97503,Germany,Yes,Female,North
990058,10139.0,Edge,2,08/04/2023 15:52,1.75,83936,United Kingdom,Yes,Female,South
712591,35894.0,Become,6,15/12/2023 03:45,40.76,74187,Germany,Yes,Female,North
769702,34785.0,Beat,20,23/09/2023 20:31,37.09,99868,Australia,No,Male,East
286827,91020.0,Ask,3,22/09/2023 05:06,27.89,39139,Canada,No,Female,West
448319,34627.0,Young,19,20/11/2023 04:42,24.01,47921,France,No,Female,North
237434,89369.0,Sense,4,10/07/2023 14:17,0.96,38594,United Kingdom,No,Female,South
453887,21982.0,Organization,16,24/11/2023 17:26,18.32,85565,France,Yes,Female,North
69487,33704.0,Somebody,19,28/05/2023 10:23,36.42,19995,Germany,No,Female,West
737466,32717.0,Unit,19,21/04/2023 22:52,29.59,57133,France,Yes,Male,West
724946,66640.0,Effect,17,18/01/2024 17:03,7.12,43916,Germany,Yes,Female,East
643422,93910.0,Eat,6,23/08/2023 20:07,6.9,93785,Australia,Yes,Male,West
81557,16527.0,Inside,15,18/04/2023 07:22,33.91,87203,United Kingdom,Yes,Female,South
353692,84654.0,Put,8,26/07/2023 02:33,2.26,70363,Germany,Yes,Male,East
950789,43017.0,Will,8,26/11/2023 12:15,35.13,43906,Germany,Yes,Male,North
4776,69825.0,Us,11,08/06/2023 10:07,35.81,60068,Germany,Yes,Female,East
681094,83337.0,As,1,13/05/2023 11:24,36.22,50535,France,Yes,Female,North
73279,27817.0,Wish,18,02/09/2023 18:35,9.04,16901,Germany,No,Male,East
995141,54689.0,Deep,15,29/08/2023 13:09,39.76,84368,United Kingdom,Yes,Male,South
947065,14896.0,Call,16,11/08/2023 02:29,7.99,99736,United Kingdom,No,Male,West
369406,62104.0,Tv,12,12/07/2023 15:59,25.77,30743,Germany,No,Female,West
405429,69306.0,Product,4,04/10/2023 21:45,21.81,77367,Australia,Yes,Male,South
714748,59966.0,Space,5,13/05/2023 02:36,40.92,70267,France,Yes,Female,North
654784,22396.0,Mr,12,25/03/2023 03:27,24.39,61365,Germany,No,Male,East
113339,15189.0,Bul,9,23/07/2023 04:09,48.56,63637,Germany,Yes,Male,North
778647,60621.0,Audience,15,03/12/2023 09:14,20.33,27595,United Kingdom,No,Male,North
174378,95778.0,Card,10,11/12/2023 06:08,44.27,47508,Australia,No,Female,East
890499,92026.0,Trip,17,04/06/2023 21:37,36.93,93363,Germany,No,Female,West
99081,69944.0,Behavior,7,24/11/2023 01:10,42.16,53369,United Kingdom,No,Male,North
275366,33907.0,Seat,17,25/12/2023 09:58,33.09,5547,France,No,Male,South
171915,76626.0,Hold,12,22/11/2023 04:58,13.58,55804,Canada,Yes,Male,North
978831,86365.0,Interesting,16,08/07/2023 17:55,32.47,78922,United Kingdom,No,Male,West
641738,18452.0,Bank,6,08/12/2023 13:36,3.33,762,Canada,No,Female,East
485705,73128.0,Close,3,12/06/2023 13:31,41.9,10809,Australia,Yes,Male,East
483874,26114.0,More,5,29/05/2023 04:21,4.37,80056,United States,No,Female,East
125625,65180.0,Charge,12,14/07/2023 21:39,37.17,90931,Germany,No,Female,West
927687,49410.0,Eight,8,21/07/2023 19:11,45.87,3432,France,Yes,Male,North
270707,14190.0,Child,15,27/09/2023 02:02,18.48,11434,Australia,Yes,Male,West
194349,68367.0,Notice,12,04/12/2023 17:25,46.33,26682,United Kingdom,No,Female,East
334299,60056.0,But,6,18/07/2023 21:17,18.76,700,Australia,Yes,Male,South
121054,25732.0,Condition,18,14/08/2023 06:23,39.78,55657,Australia,No,Male,East
758930,29952.0,Management,16,30/04/2023 23:45,36.38,65987,United Kingdom,No,Female,North
614316,11590.0,Hit,12,08/08/2023 13:47,15.07,41821,Germany,No,Male,North
94519,15851.0,Value,12,19/09/2023 14:54,7.87,18857,Canada,Yes,Male,South
15041,88952.0,Idea,11,13/08/2023 11:49,45.63,80420,United Kingdom,No,Male,West
892819,10158.0,Behind,14,30/11/2023 14:20,13.31,57711,Germany,Yes,Female,South
591692,94822.0,Simply,15,16/12/2023 08:49,2.0,9533,Australia,Yes,Female,West
645970,41827.0,Campaign,5,25/07/2023 02:21,11.73,95958,United Kingdom,Yes,Male,West
701652,19893.0,Skill,15,02/08/2023 16:52,32.0,57185,Germany,Yes,Male,East
799665,85856.0,Discussion,7,25/10/2023 17:22,40.35,80620,Germany,Yes,Male,East
43837,67057.0,Sell,12,04/06/2023 14:26,43.73,4830,France,Yes,Male,North
372478,77240.0,Quickly,7,26/02/2024 07:39,4.64,77031,United Kingdom,Yes,Female,West
470855,41099.0,Always,2,24/05/2023 13:51,49.04,44052,Germany,No,Female,East
114588,48584.0,Leave,18,15/09/2023 14:32,32.17,26449,Canada,Yes,Female,North
442584,55372.0,Season,1,19/09/2023 02:50,17.08,75506,Germany,No,Female,West
430489,55110.0,Him,19,03/10/2023 15:45,47.76,87075,United Kingdom,Yes,Female,North
740119,41054.0,Determine,18,31/10/2023 07:20,17.76,94080,United Kingdom,Yes,Female,North
462516,21708.0,First,5,01/02/2024 06:04,4.52,42563,Australia,No,Male,South
875816,42526.0,Watch,1,30/10/2023 22:23,35.03,38780,Australia,Yes,Male,North
193739,55237.0,Bring,13,08/11/2023 11:15,22.74,40851,France,Yes,Male,East
23034,61582.0,House,10,06/09/2023 19:36,25.83,76610,Canada,Yes,Female,West
893175,60098.0,Dog,4,08/03/2024 20:41,13.26,56655,United States,No,Male,South
208373,81794.0,Activity,11,08/09/2023 14:37,19.31,76843,United States,Yes,Male,South
73945,99201.0,Suffer,3,30/06/2023 07:53,9.35,6155,United Kingdom,No,Female,East
982148,87216.0,Dinner,15,13/04/2023 20:05,1.0,78553,United Kingdom,Yes,Male,South
675072,58715.0,Culture,10,01/01/2024 10:25,47.26,99581,United States,No,Female,East
110430,84964.0,Pay,10,16/06/2023 08:50,13.22,4674,United States,Yes,Female,South
330415,94761.0,Administration,1,13/12/2023 17:08,24.34,62686,Canada,Yes,Female,North
71027,69279.0,Safe,16,10/07/2023 17:51,10.69,11689,United States,Yes,Male,East
400954,48818.0,Help,11,01/05/2023 22:01,36.17,17201,Germany,Yes,Female,North
202422,35249.0,Traditional,1,05/04/2023 01:38,0.98,34591,United Kingdom,No,Female,South
817573,78703.0,Tonight,14,10/04/2023 17:53,44.27,87584,Canada,Yes,Male,North
738720,49519.0,Movie,14,11/07/2023 16:40,39.92,46478,Germany,Yes,Female,North
328243,24889.0,And,17,25/08/2023 11:45,34.41,66994,Germany,No,Male,South
62466,35026.0,Next,11,25/06/2023 20:56,40.21,67052,Canada,Yes,Male,North
59490,11609.0,Write,2,12/02/2024 16:03,18.39,44508,France,No,Male,North
925970,64863.0,Process,12,28/02/2024 18:05,26.06,90158,France,No,Male,North
138670,99202.0,Type,7,16/02/2024 02:41,30.36,98637,United Kingdom,Yes,Female,West
607606,58155.0,Relate,7,05/12/2023 23:04,5.88,22409,France,No,Male,East
195662,40265.0,Street,2,18/10/2023 03:03,32.07,20417,Germany,No,Female,South
575900,73801.0,Democrat,11,13/08/2023 01:52,33.07,21323,France,Yes,Female,South
885987,16088.0,Focus,19,14/11/2023 05:06,5.85,26439,United Kingdom,Yes,Female,North
144026,88212.0,Heavy,10,30/09/2023 23:02,41.34,48080,Australia,No,Male,East
85750,38186.0,Nation,8,13/03/2024 06:47,34.93,88106,Germany,Yes,Male,West
500794,75374.0,Begin,3,21/06/2023 10:55,37.73,23928,United Kingdom,No,Female,South
199589,13440.0,Explain,8,04/10/2023 10:48,22.41,41713,United States,No,Female,West
383445,56053.0,Detail,2,18/05/2023 01:15,9.94,13494,France,No,Female,West
668871,33392.0,Training,6,24/08/2023 03:31,5.91,34837,United Kingdom,Yes,Female,North
705872,35536.0,Public,13,25/04/2023 17:03,30.41,88665,Canada,Yes,Female,East
98880,92291.0,Later,10,30/03/2023 11:00,20.87,99618,United States,No,Female,East
441687,97123.0,Radio,14,08/04/2023 17:16,17.73,42793,France,Yes,Male,North
822863,13405.0,Raise,14,09/11/2023 11:54,38.41,65930,Germany,Yes,Female,East
379671,38864.0,Music,6,08/04/2023 06:02,31.82,5882,Australia,No,Male,South
157227,53505.0,Interest,17,23/04/2023 07:02,4.04,81443,Australia,No,Male,North
461450,65179.0,Truth,7,04/06/2023 13:49,24.86,87313,France,Yes,Male,South
420764,18896.0,Than,14,09/08/2023 18:30,24.85,53140,Australia,Yes,Male,North
464086,53123.0,Tree,20,11/10/2023 09:03,37.49,2015,France,No,Male,North
303529,27875.0,Power,16,28/12/2023 04:45,10.31,86318,Germany,No,Male,West
899149,26474.0,List,2,17/10/2023 13:08,42.98,6193,United Kingdom,Yes,Female,West
180607,76575.0,Interview,4,12/02/2024 07:18,33.39,94865,United Kingdom,No,Male,West
317329,12551.0,Child,19,19/05/2023 08:42,14.45,81871,France,No,Female,West
776880,85026.0,College,15,14/11/2023 14:07,17.35,45009,United Kingdom,No,Female,South
181378,99939.0,Dream,5,30/06/2023 00:21,33.64,85076,Germany,No,Male,East
111360,92224.0,According,20,27/10/2023 13:46,28.7,42691,Australia,No,Female,East
17673,14402.0,Room,7,04/07/2023 05:15,7.71,87626,United States,Yes,Male,South
821550,82487.0,On,1,27/01/2024 07:56,31.01,90123,Canada,Yes,Female,West
786726,87747.0,Customer,8,19/09/2023 14:09,46.16,77254,Canada,Yes,Male,East
763643,43896.0,So,7,05/03/2024 06:40,8.44,26253,France,No,Female,West
125646,71461.0,Research,11,14/02/2024 12:14,21.46,44327,Canada,Yes,Female,West
267704,38534.0,Morning,17,14/02/2024 18:19,23.96,5712,United States,No,Female,South
3971,18554.0,Rise,2,08/09/2023 01:01,17.91,89248,France,No,Male,South
458317,48229.0,Rather,7,28/12/2023 07:10,48.73,82670,Canada,No,Male,East
7496,21258.0,Detail,12,20/07/2023 02:29,3.21,85622,United Kingdom,Yes,Female,West
205380,98231.0,Raise,4,16/07/2023 05:45,32.57,42936,Australia,Yes,Female,South
783759,76483.0,Give,8,24/02/2024 11:11,15.96,46605,Germany,Yes,Female,West
261247,79186.0,Peace,11,03/09/2023 16:31,36.65,70737,France,Yes,Female,South
630049,49749.0,Well,9,22/09/2023 03:52,44.97,64557,Canada,No,Male,South
741411,17470.0,Street,13,07/05/2023 11:26,38.58,10359,United States,Yes,Female,West
884415,31340.0,Reduce,3,13/04/2023 12:18,49.65,73030,France,No,Female,North
616863,56043.0,Series,7,21/04/2023 01:19,34.29,40069,United Kingdom,Yes,Female,South
90864,73540.0,Real,2,23/04/2023 04:19,13.74,28930,Australia,No,Female,West
542464,53248.0,Hit,13,12/05/2023 17:49,45.1,97126,France,No,Female,South
243175,43976.0,Such,17,30/09/2023 04:57,7.93,87098,Australia,Yes,Male,South
88645,17502.0,Tree,15,11/10/2023 21:23,19.53,97400,Australia,No,Male,East
711883,65077.0,Edge,2,02/09/2023 19:32,22.99,15568,France,No,Female,East
834121,47618.0,Once,13,16/06/2023 03:56,27.84,58208,France,Yes,Male,South
906764,82384.0,Vote,4,01/06/2023 09:37,1.83,2470,Germany,Yes,Female,South
422190,69545.0,Structure,18,21/05/2023 13:12,23.17,64887,Canada,Yes,Female,South
682872,78344.0,Child,16,12/05/2023 07:08,34.39,77475,Germany,No,Male,West
215850,23471.0,Physical,8,15/03/2024 10:08,42.67,48425,United Kingdom,No,Female,West
748369,81696.0,American,19,25/04/2023 16:43,15.19,30352,United States,Yes,Male,South
384250,69494.0,Movie,20,08/04/2023 18:00,42.82,46745,France,No,Female,West
8080,20858.0,General,5,02/01/2024 07:55,41.44,94782,France,No,Male,North
784769,61579.0,Catch,9,24/09/2023 09:39,41.7,57176,Canada,Yes,Female,South
720259,81290.0,Its,17,09/09/2023 14:55,1.95,44063,Canada,No,Male,South
697594,83294.0,Agree,12,27/08/2023 07:04,48.16,62806,Canada,Yes,Female,West
664471,42469.0,Feel,19,20/08/2023 19:55,2.61,61865,Canada,No,Female,East
661270,65188.0,Military,13,07/10/2023 01:04,47.11,55579,France,Yes,Female,West
438779,49147.0,Old,10,17/08/2023 06:55,15.02,52022,France,Yes,Female,South
508892,67219.0,Argue,1,17/02/2024 05:37,40.6,50936,United States,No,Female,South
285385,41119.0,Hour,20,13/12/2023 21:18,25.91,52574,Australia,Yes,Male,East
637774,42873.0,Marriage,9,31/12/2023 23:07,10.86,38428,United States,Yes,Male,North
556209,52266.0,Nor,17,22/09/2023 23:03,11.09,54140,Germany,No,Female,East
265529,34912.0,Resource,11,25/11/2023 03:19,44.86,12539,Australia,No,Male,East
213129,86297.0,Major,15,03/06/2023 16:57,9.9,3188,United Kingdom,No,Female,North
989026,46087.0,Various,16,28/07/2023 20:53,0.83,82456,Canada,Yes,Female,North
606623,69157.0,Race,19,05/09/2023 11:10,17.58,96079,Canada,Yes,Female,East
52048,11474.0,School,13,17/05/2023 03:54,33.31,47287,Germany,No,Female,West
543208,65518.0,Ability,3,05/06/2023 00:52,47.51,80253,United States,No,Male,East
914725,22565.0,She,2,16/03/2024 11:06,37.34,2418,United States,No,Female,West
326191,25868.0,Mother,7,13/01/2024 20:14,43.11,5782,Australia,No,Male,North
919747,31108.0,Meeting,3,25/09/2023 22:11,2.58,47974,Australia,No,Male,West
158418,29581.0,Thus,9,13/06/2023 03:03,38.27,47812,Germany,Yes,Female,East
876240,44008.0,Class,10,30/01/2024 08:05,5.79,1769,France,Yes,Female,North
779038,85833.0,Administration,12,09/11/2023 10:48,9.16,21020,France,No,Female,East
186224,13738.0,Better,4,10/03/2024 13:57,11.86,155,France,Yes,Male,West
937300,36358.0,Believe,3,15/09/2023 10:35,48.12,77470,Canada,No,Male,East
776592,31127.0,Others,8,01/04/2023 19:04,46.01,48608,France,Yes,Female,East
893612,64859.0,Purpose,14,04/06/2023 23:56,29.58,16090,United States,Yes,Female,North
119562,84187.0,Ahead,6,24/09/2023 07:44,28.73,34039,Germany,No,Female,East
48371,95910.0,Later,15,05/01/2024 04:42,36.04,52673,France,No,Male,South
